id,product_name,price(vnd),original_price,discount,discount_rate(%),review_count,rating_average,quantity_sold,brand_name,origin,subcategory_name,category_name
275602947,Laptop Asus Vivobook 15 OLED A1505VA-MA492W (Intel Core i7-13700H | 16GB | 512GB | 15.6 inch 2.8K OLED | Win 11 | Bạc) - Hàng Chính Hãng - Bảo Hành 24 Tháng,20220000,20220000,0,0,0,0.0,0.0,,,laptop-truyen-thong,Laptop
275603396,Laptop Asus Vivobook 15 OLED A1505VA-MA469W (Intel Core i9-13900H | 16GB | 512GB | 15.6 inch 2.8K | Win 11 | Bạc) - Hàng Chính Hãng - Bảo Hành 24 Tháng,22990000,22990000,0,0,0,0.0,0.0,,,laptop-truyen-thong,Laptop
275603559,Laptop Asus ExpertBook B1 B1402CBA-NK1560W (Intel Core i5-1235U | 8GB DDR4 | 512GB | Intel UHD Graphics | 14 inch FHD | Windows 11 Home | Đen) - Hàng Chính Hãng - Bảo Hành 24 Tháng ,12790000,12790000,0,0,0,0.0,0.0,,,laptop-truyen-thong,Laptop
275603966,Laptop Asus TUF Gaming A15 FA506NC-HN011W (AMD Ryzen 5 7535HS | 8GB | 512GB | RTX 3050 | 15.6 inch FHD 144Hz | Win 11 | Đen) - Hàng Chính Hãng - Bảo Hành 24 Tháng,17290000,17290000,0,0,0,0.0,0.0,,,laptop-gaming,Laptop
275604913,Laptop ASUS Vivobook S 16 OLED S5606MA-MX051W (Intel Core Ultra 7 155H | 16GB | 512GB | Intel Arc | 16 inch 3.2K | Win 11 | Xanh) - Hàng Chính Hãng - Bảo Hành 24 Tháng ,27590000,27590000,0,0,0,0.0,0.0,,,laptop-truyen-thong,Laptop
275611522,Laptop HP 240 G9 ( 9H9B9PT) | Bạc | Intel Core I3-1215U | Ram 8GB | 512 GB SSD | Intel Iris Xe Graphics | 14 Inch FHD | Windows 11 Home | 1Yr - Hàng chính hãng - bảo hành 12 tháng,10690000,10690000,0,0,0,0.0,0.0,,,laptop-truyen-thong,Laptop
275618841,Điện thoại Realme Note 50 4GB/128GB - Hàng chính hãng,2490000,2890000,400000,14,4,5.0,24.0,Realme,Trung Quốc,dien-thoai-smartphone,Điện thoại
275618846,Điện thoại Samsung Galaxy A34 5G (8GB/256GB) - Đã kích hoạt bảo hành điện tử  Hàng chính hãng,5890000,8790000,2900000,33,8,4.5,613.0,Samsung,Việt Nam,dien-thoai-smartphone,Điện thoại
275621214,Điện Thoại Oppo Reno12 F 5G 8GB/256GB - Hàng Chính Hãng,8299000,9490000,1191000,13,0,0.0,2.0,OPPO,Trung Quốc,dien-thoai-smartphone,Điện thoại
275621450,Điện Thoại Xiaomi Redmi 13C 4GB/128GB - Hàng Chính Hãng,2819000,3090000,271000,9,0,0.0,1.0,Xiaomi,Trung Quốc,dien-thoai-smartphone,Điện thoại
